127.0.0.1 - - [14/Oct/2021:11:58:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Oct/2021:11:58:31 +0530] "GET /Daily_SMS_Report/index.jsp HTTP/1.1" 500 4019
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:05:32 +0530] "GET /Daily_SMS_Report/index.jsp HTTP/1.1" 500 3040
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:30 +0530] "GET /Daily_SMS_Report/index.jsp HTTP/1.1" 200 24583
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/css/bootstrap.min.css HTTP/1.1" 200 124917
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/css/demo.css HTTP/1.1" 200 14186
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/css/light-bootstrap-dashboard.css?v=2.0.0 HTTP/1.1" 200 109293
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/core/popper.min.js HTTP/1.1" 200 18994
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/plugins/bootstrap-switch.js HTTP/1.1" 200 23141
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/core/bootstrap.min.js HTTP/1.1" 200 51144
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/plugins/chartist.min.js HTTP/1.1" 200 36027
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/plugins/bootstrap-notify.js HTTP/1.1" 200 18221
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/light-bootstrap-dashboard.js?v=2.0.0 HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:31 +0530] "GET /Daily_SMS_Report/assets/js/demo.js HTTP/1.1" 200 17154
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:32 +0530] "GET /Daily_SMS_Report/assets/fonts/nucleo-icons.eot HTTP/1.1" 200 27560
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:32 +0530] "GET /Daily_SMS_Report/assets/img/sidebar-5.jpg HTTP/1.1" 200 87627
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/index.jsp HTTP/1.1" 200 24583
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/css/light-bootstrap-dashboard.css?v=2.0.0 HTTP/1.1" 200 109293
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/css/demo.css HTTP/1.1" 200 14186
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/css/bootstrap.min.css HTTP/1.1" 200 124917
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/core/popper.min.js HTTP/1.1" 200 18994
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/core/bootstrap.min.js HTTP/1.1" 200 51144
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/plugins/chartist.min.js HTTP/1.1" 200 36027
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/plugins/bootstrap-switch.js HTTP/1.1" 200 23141
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/light-bootstrap-dashboard.js?v=2.0.0 HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/plugins/bootstrap-notify.js HTTP/1.1" 200 18221
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/js/demo.js HTTP/1.1" 200 17154
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:39 +0530] "GET /Daily_SMS_Report/assets/fonts/nucleo-icons.woff2 HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:40 +0530] "GET /Daily_SMS_Report/assets/img/sidebar-5.jpg HTTP/1.1" 200 87627
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:40 +0530] "GET /Daily_SMS_Report/assets/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:48 +0530] "GET /Daily_SMS_Report/jquery-3.3.1.min.js HTTP/1.1" 200 86940
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:48 +0530] "GET /Daily_SMS_Report/ViewSummaryByMonth.jsp HTTP/1.1" 200 107778
0:0:0:0:0:0:0:1 - - [14/Oct/2021:12:06:50 +0530] "GET /Daily_SMS_Report/MainCharts.jsp HTTP/1.1" 200 23360
